SITE_ID,PLOT,COMMUNITY,Scientific,SPECIES_CODE,PERCENT_COVER,ORIGIN,MAX_LH
13-010,5,1,Sagina maxima,coastal pearlwort,0.5,N,
13-010,5,1,Populus balsamifera ,black cottonwood,0.5,N,
13-010,5,1,Juncus tenuis,slender rush,1,N,
13-010,5,1,Philonotis fontana,spring moss,5,N,
13-010,6,1,Juncus tenuis,slender rush,16,N,
13-010,6,1,Hypericum scouleri ssp. scouleri,western St. John's-wort,4,N,
13-010,6,1,Juncus articulatus,jointed rush,1,N,
13-010,6,1,Philonotis fontana,spring moss,5,N,
13-010,6,1,Sagina maxima,coastal pearlwort,0.5,N,
13-010,6,1,Lilaeopsis occidentalis,western lilaeopsis,0.5,N,
13-010,7,1,Cardamine oligosperma,little western bitter-cress,1,N,
13-010,7,1,Juncus articulatus,jointed rush,1,N,
13-010,7,1,Hypericum scouleri ssp. scouleri,western St. John's-wort,1,N,
13-010,8,1,Juncus effusus,common rush,2,N,
13-010,8,1,Philonotis fontana,spring moss,8,N,
13-010,8,1,Hypericum scouleri ssp. scouleri,western St. John's-wort,7,N,
13-010,8,1,Juncus articulatus,jointed rush,7,N,
13-010,8,1,Juncus tenuis,slender rush,3,N,
13-010,9,1,Juncus articulatus,jointed rush,4,N,
13-010,9,1,Hypericum scouleri ssp. scouleri,western St. John's-wort,2,N,
13-010,9,1,Sagina maxima,coastal pearlwort,1,N,
13-010,10,1,Juncus articulatus,jointed rush,4,N,
13-010,10,1,Juncus tenuis,slender rush,3,N,
13-010,10,1,Hypericum scouleri ssp. scouleri,western St. John's-wort,7,N,
13-010,10,1,Sagina maxima,coastal pearlwort,1,N,
13-010,10,1,Cardamine oligosperma,little western bitter-cress,1,N,
13-010,11,1,Juncus articulatus,jointed rush,1,N,
13-010,11,1,Cardamine oligosperma,little western bitter-cress,2,N,
13-010,12,1,Scirpus cyperinus,woolgrass,10,N,43
13-010,12,1,Sagina maxima,coastal pearlwort,5,N,
13-010,12,1,Juncus articulatus,jointed rush,8,N,23
13-010,12,1,Juncus effusus,common rush,3,N,
13-010,12,1,Galium trifidum,small bedstraw,3,N,
13-010,12,1,Hypericum scouleri ssp. scouleri,western St. John's-wort,5,N,
13-010,12,1,Lilaeopsis occidentalis,lilaeopsis,1,N,
13-010,13,1,Scirpus cyperinus,woolgrass,12,N,45
13-010,13,1,Philonotis fontana,spring moss,0.5,N,
13-010,13,1,Juncus articulatus,jointed rush,18,N,23
13-010,13,1,Hypericum scouleri ssp. scouleri,western St. John's-wort,3,N,
13-010,13,1,Lilaeopsis occidentalis,lilaeopsis,0.5,N,
13-010,13,1,Juncus tenuis,slender rush,2,N,
13-010,14,1,Juncus effusus,common rush,3,N,
13-010,14,1,Hypericum scouleri ssp. scouleri,western St. John's-wort,7,N,
13-010,14,1,Juncus articulatus,jointed rush,4,N,
13-010,14,1,Philonotis fontana,spring moss,0.5,N,
13-010,14,1,Sagina maxima,coastal pearlwort,2,N,
13-010,15,1,Juncus tenuis,slender rush,4,N,
13-010,15,1,Philonotis fontana,spring moss,10,N,
13-010,15,1,Hypericum scouleri ssp. scouleri,western St. John's-wort,4,N,
13-010,15,1,Juncus articulatus,jointed rush,17,N,
13-010,5,1,Lycopus sp.,horehound,0.5,U,
13-010,9,1,Persicaria sp.,persicaria,1,U,
13-010,11,1,Persicaria sp.,persicaria,5,U,
13-010,1,1,,ground,17,S,
13-010,2,1,,riprap,12,S,
13-010,2,1,,log,20,S,
13-010,2,1,,bare ground,30,S,
13-010,3,1,,log,22,S,
13-010,3,1,,riprap,30,S,
13-010,3,1,,ground,31,S,
13-010,4,1,,riprap,20,S,
13-010,4,1,,ground,46,S,
13-010,5,1,,riprap,30,S,
13-010,6,1,,riprap,30,S,
13-010,6,1,,ground,25,S,
13-010,7,1,,ground,24,S,
13-010,7,1,,riprap,64,S,
13-010,8,1,Hypochaeris glabra ,smooth cat's-ear,1,E,
13-010,8,1,,riprap,25,S,
13-010,8,1,,ground,18,S,
13-010,9,1,,riprap,83,S,
13-010,10,1,,ground,77,S,
13-010,11,1,,ground,87,S,
13-010,12,1,,ground,25,S,
13-010,13,1,,ground,51,S,
13-010,14,1,,riprap,61,S,
13-010,15,1,,ground,7,S,
