"","PLOT_CODE","CARELYN"
"REF-2015-10-1-1","REF-2015-10-1-1",215
"REF-2015-10-1-10","REF-2015-10-1-10",108
"REF-2015-10-1-11","REF-2015-10-1-11",NA
"REF-2015-10-1-12","REF-2015-10-1-12",159
"REF-2015-10-1-13","REF-2015-10-1-13",162
"REF-2015-10-1-14","REF-2015-10-1-14",130
"REF-2015-10-1-15","REF-2015-10-1-15",74
"REF-2015-10-1-16","REF-2015-10-1-16",170
"REF-2015-10-1-17","REF-2015-10-1-17",152
"REF-2015-10-1-18","REF-2015-10-1-18",NA
"REF-2015-10-1-19","REF-2015-10-1-19",NA
"REF-2015-10-1-2","REF-2015-10-1-2",147
"REF-2015-10-1-20","REF-2015-10-1-20",141
"REF-2015-10-1-21","REF-2015-10-1-21",118
"REF-2015-10-1-22","REF-2015-10-1-22",NA
"REF-2015-10-1-23","REF-2015-10-1-23",108
"REF-2015-10-1-24","REF-2015-10-1-24",142
"REF-2015-10-1-25","REF-2015-10-1-25",152
"REF-2015-10-1-26","REF-2015-10-1-26",NA
"REF-2015-10-1-27","REF-2015-10-1-27",167
"REF-2015-10-1-28","REF-2015-10-1-28",137
"REF-2015-10-1-29","REF-2015-10-1-29",158
"REF-2015-10-1-3","REF-2015-10-1-3",95
"REF-2015-10-1-4","REF-2015-10-1-4",NA
"REF-2015-10-1-5","REF-2015-10-1-5",NA
"REF-2015-10-1-6","REF-2015-10-1-6",144
"REF-2015-10-1-7","REF-2015-10-1-7",161
"REF-2015-10-1-8","REF-2015-10-1-8",124
"REF-2015-10-1-9","REF-2015-10-1-9",172
"REF-2015-10-2-1","REF-2015-10-2-1",NA
"REF-2015-10-2-10","REF-2015-10-2-10",NA
"REF-2015-10-2-11","REF-2015-10-2-11",NA
"REF-2015-10-2-12","REF-2015-10-2-12",NA
"REF-2015-10-2-13","REF-2015-10-2-13",NA
"REF-2015-10-2-14","REF-2015-10-2-14",NA
"REF-2015-10-2-15","REF-2015-10-2-15",NA
"REF-2015-10-2-16","REF-2015-10-2-16",NA
"REF-2015-10-2-17","REF-2015-10-2-17",NA
"REF-2015-10-2-18","REF-2015-10-2-18",NA
"REF-2015-10-2-19","REF-2015-10-2-19",NA
"REF-2015-10-2-2","REF-2015-10-2-2",NA
"REF-2015-10-2-20","REF-2015-10-2-20",NA
"REF-2015-10-2-3","REF-2015-10-2-3",NA
"REF-2015-10-2-4","REF-2015-10-2-4",NA
"REF-2015-10-2-5","REF-2015-10-2-5",NA
"REF-2015-10-2-6","REF-2015-10-2-6",NA
"REF-2015-10-2-7","REF-2015-10-2-7",NA
"REF-2015-10-2-8","REF-2015-10-2-8",NA
"REF-2015-10-2-9","REF-2015-10-2-9",NA
"REF-2015-11-1-1","REF-2015-11-1-1",NA
"REF-2015-11-1-10","REF-2015-11-1-10",87
"REF-2015-11-1-11","REF-2015-11-1-11",134
"REF-2015-11-1-12","REF-2015-11-1-12",NA
"REF-2015-11-1-13","REF-2015-11-1-13",NA
"REF-2015-11-1-14","REF-2015-11-1-14",102
"REF-2015-11-1-15","REF-2015-11-1-15",93
"REF-2015-11-1-16","REF-2015-11-1-16",NA
"REF-2015-11-1-17","REF-2015-11-1-17",NA
"REF-2015-11-1-18","REF-2015-11-1-18",145
"REF-2015-11-1-19","REF-2015-11-1-19",102
"REF-2015-11-1-2","REF-2015-11-1-2",NA
"REF-2015-11-1-20","REF-2015-11-1-20",NA
"REF-2015-11-1-21","REF-2015-11-1-21",164
"REF-2015-11-1-22","REF-2015-11-1-22",NA
"REF-2015-11-1-23","REF-2015-11-1-23",NA
"REF-2015-11-1-24","REF-2015-11-1-24",103
"REF-2015-11-1-25","REF-2015-11-1-25",NA
"REF-2015-11-1-26","REF-2015-11-1-26",73
"REF-2015-11-1-27","REF-2015-11-1-27",NA
"REF-2015-11-1-28","REF-2015-11-1-28",NA
"REF-2015-11-1-29","REF-2015-11-1-29",NA
"REF-2015-11-1-3","REF-2015-11-1-3",68
"REF-2015-11-1-30","REF-2015-11-1-30",113
"REF-2015-11-1-4","REF-2015-11-1-4",124
"REF-2015-11-1-5","REF-2015-11-1-5",NA
"REF-2015-11-1-6","REF-2015-11-1-6",110
"REF-2015-11-1-7","REF-2015-11-1-7",109
"REF-2015-11-1-8","REF-2015-11-1-8",NA
"REF-2015-11-1-9","REF-2015-11-1-9",81
"REF-2015-11-2-1","REF-2015-11-2-1",NA
"REF-2015-11-2-10","REF-2015-11-2-10",NA
"REF-2015-11-2-11","REF-2015-11-2-11",NA
"REF-2015-11-2-12","REF-2015-11-2-12",NA
"REF-2015-11-2-13","REF-2015-11-2-13",NA
"REF-2015-11-2-14","REF-2015-11-2-14",NA
"REF-2015-11-2-15","REF-2015-11-2-15",NA
"REF-2015-11-2-16","REF-2015-11-2-16",NA
"REF-2015-11-2-17","REF-2015-11-2-17",NA
"REF-2015-11-2-18","REF-2015-11-2-18",NA
"REF-2015-11-2-19","REF-2015-11-2-19",NA
"REF-2015-11-2-2","REF-2015-11-2-2",NA
"REF-2015-11-2-20","REF-2015-11-2-20",NA
"REF-2015-11-2-3","REF-2015-11-2-3",NA
"REF-2015-11-2-4","REF-2015-11-2-4",NA
"REF-2015-11-2-5","REF-2015-11-2-5",NA
"REF-2015-11-2-6","REF-2015-11-2-6",NA
"REF-2015-11-2-7","REF-2015-11-2-7",NA
"REF-2015-11-2-8","REF-2015-11-2-8",NA
"REF-2015-11-2-9","REF-2015-11-2-9",NA
"REF-2015-12-1-01-Jan","REF-2015-12-1-01-Jan",11
"REF-2015-12-1-02-Jan","REF-2015-12-1-02-Jan",136
"REF-2015-12-1-03-Jan","REF-2015-12-1-03-Jan",128
"REF-2015-12-1-04-Jan","REF-2015-12-1-04-Jan",120
"REF-2015-12-1-05-Jan","REF-2015-12-1-05-Jan",123
"REF-2015-12-1-06-Jan","REF-2015-12-1-06-Jan",50
"REF-2015-12-1-07-Jan","REF-2015-12-1-07-Jan",95
"REF-2015-12-1-08-Jan","REF-2015-12-1-08-Jan",132
"REF-2015-12-1-09-Jan","REF-2015-12-1-09-Jan",149
"REF-2015-12-1-10-Jan","REF-2015-12-1-10-Jan",48
"REF-2015-12-1-11-Jan","REF-2015-12-1-11-Jan",132
"REF-2015-12-1-12-Jan","REF-2015-12-1-12-Jan",NA
"REF-2015-12-1-13-Jan","REF-2015-12-1-13-Jan",112
"REF-2015-12-1-14-Jan","REF-2015-12-1-14-Jan",109
"REF-2015-12-1-15-Jan","REF-2015-12-1-15-Jan",121
"REF-2015-12-1-16-Jan","REF-2015-12-1-16-Jan",117
"REF-2015-12-1-17-Jan","REF-2015-12-1-17-Jan",114
"REF-2015-12-1-18-Jan","REF-2015-12-1-18-Jan",102
"REF-2015-12-1-19-Jan","REF-2015-12-1-19-Jan",167
"REF-2015-12-1-20-Jan","REF-2015-12-1-20-Jan",138
"REF-2015-12-1-21-Jan","REF-2015-12-1-21-Jan",124
"REF-2015-12-1-22-Jan","REF-2015-12-1-22-Jan",77
"REF-2015-12-1-23-Jan","REF-2015-12-1-23-Jan",167
"REF-2015-12-1-24-Jan","REF-2015-12-1-24-Jan",118
"REF-2015-12-1-25-Jan","REF-2015-12-1-25-Jan",NA
"REF-2015-12-1-26-Jan","REF-2015-12-1-26-Jan",144
"REF-2015-12-1-27-Jan","REF-2015-12-1-27-Jan",NA
"REF-2015-12-1-28-Jan","REF-2015-12-1-28-Jan",101
"REF-2015-12-1-29-Jan","REF-2015-12-1-29-Jan",115
"REF-2015-12-1-30-Jan","REF-2015-12-1-30-Jan",135
"REF-2015-12-2-01-Feb","REF-2015-12-2-01-Feb",60
"REF-2015-12-2-02-Feb","REF-2015-12-2-02-Feb",35
"REF-2015-12-2-03-Feb","REF-2015-12-2-03-Feb",33
"REF-2015-12-2-04-Feb","REF-2015-12-2-04-Feb",54
"REF-2015-12-2-05-Feb","REF-2015-12-2-05-Feb",54
"REF-2015-12-2-06-Feb","REF-2015-12-2-06-Feb",50
"REF-2015-12-2-07-Feb","REF-2015-12-2-07-Feb",54
"REF-2015-12-2-08-Feb","REF-2015-12-2-08-Feb",61
"REF-2015-12-2-09-Feb","REF-2015-12-2-09-Feb",50
"REF-2015-12-2-10-Feb","REF-2015-12-2-10-Feb",NA
