"","PLOT_CODE","CARELYN"
"09-002-A-1-1-3","09-002-A-1-1-3",102
"09-002-A-1-1-4","09-002-A-1-1-4",121
"09-002-A-1-1-5","09-002-A-1-1-5",112
"09-002-A-1-1-6","09-002-A-1-1-6",114
"09-002-A-1-1-7","09-002-A-1-1-7",125
"09-002-A-1-1-8","09-002-A-1-1-8",86
"09-002-A-1-1-9","09-002-A-1-1-9",117
"09-002-B-1-1-1","09-002-B-1-1-1",101
"09-002-B-1-1-10","09-002-B-1-1-10",99
"09-002-B-1-1-2","09-002-B-1-1-2",NA
"09-002-B-1-1-3","09-002-B-1-1-3",NA
"09-002-B-1-1-4","09-002-B-1-1-4",114
"09-002-B-1-1-5","09-002-B-1-1-5",88
"09-002-B-1-1-6","09-002-B-1-1-6",88
"09-002-B-1-1-7","09-002-B-1-1-7",95
"09-002-B-1-1-8","09-002-B-1-1-8",111
"09-002-B-1-1-9","09-002-B-1-1-9",94
"09-004-1-1-Jan","09-004-1-1-Jan",NA
"09-004-1-10-Jan","09-004-1-10-Jan",142
"09-004-1-2-Jan","09-004-1-2-Jan",NA
"09-004-1-3-Jan","09-004-1-3-Jan",147
"09-004-1-4-Jan","09-004-1-4-Jan",144
"09-004-1-5-Jan","09-004-1-5-Jan",140
"09-004-1-6-Jan","09-004-1-6-Jan",220
"09-004-1-7-Jan","09-004-1-7-Jan",149
"09-004-1-8-Jan","09-004-1-8-Jan",174
"09-004-1-9-Jan","09-004-1-9-Jan",178
"09-008-1-1","09-008-1-1",148
"09-008-1-2","09-008-1-2",NA
"09-008-1-3","09-008-1-3",100
"09-008-1-4","09-008-1-4",162
"09-008-1-5","09-008-1-5",NA
"09-008-2-1","09-008-2-1",NA
"09-008-2-2","09-008-2-2",NA
"09-008-2-3","09-008-2-3",NA
"09-008-2-4","09-008-2-4",NA
"09-008-2-5","09-008-2-5",NA
"09-008-B-1-1-Jan","09-008-B-1-1-Jan",106
"09-008-B-1-10-Jan","09-008-B-1-10-Jan",NA
"09-008-B-1-2-Jan","09-008-B-1-2-Jan",143
"09-008-B-1-3-Jan","09-008-B-1-3-Jan",NA
"09-008-B-1-4-Jan","09-008-B-1-4-Jan",147
"09-008-B-1-5-Jan","09-008-B-1-5-Jan",NA
"09-008-B-1-6-Jan","09-008-B-1-6-Jan",NA
"09-008-B-1-7-Jan","09-008-B-1-7-Jan",NA
"09-008-B-1-8-Jan","09-008-B-1-8-Jan",140
"09-008-B-1-9-Jan","09-008-B-1-9-Jan",131
"09-009-1-1-1","09-009-1-1-1",52
"09-009-1-1-10","09-009-1-1-10",NA
"09-009-1-1-11","09-009-1-1-11",108
"09-009-1-1-12","09-009-1-1-12",57
"09-009-1-1-13","09-009-1-1-13",NA
"09-009-1-1-14","09-009-1-1-14",118
"09-009-1-1-15","09-009-1-1-15",NA
"09-009-1-1-2","09-009-1-1-2",100
"09-009-1-1-3","09-009-1-1-3",85
"09-009-1-1-4","09-009-1-1-4",65
"09-009-1-1-5","09-009-1-1-5",125
"09-009-1-1-6","09-009-1-1-6",95
"09-009-1-1-7","09-009-1-1-7",118
"09-009-1-1-8","09-009-1-1-8",60
"09-009-1-1-9","09-009-1-1-9",54
"09-013-1-1-1","09-013-1-1-1",169
"09-013-1-1-10","09-013-1-1-10",90
"09-013-1-1-11","09-013-1-1-11",169
"09-013-1-1-12","09-013-1-1-12",NA
"09-013-1-1-13","09-013-1-1-13",160
"09-013-1-1-14","09-013-1-1-14",185
"09-013-1-1-15","09-013-1-1-15",193
"09-013-1-1-16","09-013-1-1-16",143
"09-013-1-1-2","09-013-1-1-2",94
"09-013-1-1-3","09-013-1-1-3",220
"09-013-1-1-4","09-013-1-1-4",153
"09-013-1-1-5","09-013-1-1-5",166
"09-013-1-1-6","09-013-1-1-6",132
"09-013-1-1-7","09-013-1-1-7",193
"09-013-1-1-8","09-013-1-1-8",193
"09-013-1-1-9","09-013-1-1-9",135
"09-015-1-1-1","09-015-1-1-1",165
"09-015-1-1-10","09-015-1-1-10",182
"09-015-1-1-11","09-015-1-1-11",167
"09-015-1-1-12","09-015-1-1-12",114
"09-015-1-1-13","09-015-1-1-13",123
"09-015-1-1-14","09-015-1-1-14",138
"09-015-1-1-15","09-015-1-1-15",203
"09-015-1-1-2","09-015-1-1-2",235
"09-015-1-1-3","09-015-1-1-3",NA
"09-015-1-1-4","09-015-1-1-4",131
"09-015-1-1-5","09-015-1-1-5",161
"09-015-1-1-6","09-015-1-1-6",144
"09-015-1-1-7","09-015-1-1-7",125
"09-015-1-1-8","09-015-1-1-8",148
"09-015-1-1-9","09-015-1-1-9",177
"10-002-A-1-1-1","10-002-A-1-1-1",NA
"10-002-A-1-1-10","10-002-A-1-1-10",250
"10-002-A-1-1-11","10-002-A-1-1-11",NA
"10-002-A-1-1-12","10-002-A-1-1-12",NA
"10-002-A-1-1-13","10-002-A-1-1-13",NA
"10-002-A-1-1-14","10-002-A-1-1-14",NA
"10-002-A-1-1-15","10-002-A-1-1-15",NA
"10-002-A-1-1-16","10-002-A-1-1-16",NA
"10-002-A-1-1-17","10-002-A-1-1-17",136
"10-002-A-1-1-18","10-002-A-1-1-18",NA
"10-002-A-1-1-19","10-002-A-1-1-19",NA
